iter	MultiClass
234	0.1114864403
235	0.1114837477
236	0.1114805361
237	0.1114764042
238	0.1114738076
239	0.1114712444
240	0.1114672639
241	0.1114642624
242	0.1114617884
243	0.1114593455
244	0.1114569333
245	0.1114531647
246	0.1114503388
247	0.1114475565
248	0.1114443412
249	0.1114416279
250	0.1114389555
251	0.111436323
252	0.1114341197
253	0.1114319429
254	0.1114283752
255	0.1114240067
256	0.1114215095
257	0.1114185889
258	0.1114144235
259	0.1114120086
260	0.1114099916
261	0.1114068842
262	0.111404909
263	0.1114022127
264	0.1113995662
265	0.1113972995
266	0.1113954054
267	0.1113931895
268	0.1113907089
269	0.11138821
270	0.1113851617
271	0.1113827131
272	0.1113809326
273	0.1113791715
274	0.1113774295
275	0.1113757062
276	0.1113736607
277	0.1113707918
278	0.1113675776
279	0.1113652992
280	0.1113636602
281	0.1113617179
282	0.111359801
283	0.1113579088
284	0.1113560407
285	0.1113544796
286	0.1113523299
287	0.1113497142
288	0.1113479132
289	0.1113458282
290	0.1113443389
291	0.1113428645
292	0.1113408399
293	0.1113378063
294	0.1113363718
295	0.1113346743
296	0.1113332667
297	0.1113308725
298	0.1113280581
299	0.111326689
300	0.1113253332
301	0.1113239903
302	0.1113226603
303	0.1113213429
304	0.1113197612
305	0.111317684
306	0.1113164001
307	0.1113143688
308	0.1113131065
309	0.1113118559
310	0.1113103601
311	0.1113091314
312	0.1113076633
313	0.1113064561
314	0.1113052597
315	0.1113031496
316	0.1113019742
317	0.1113005625
318	0.1112980267
319	0.111296402
320	0.1112952646
321	0.1112936732
322	0.1112923155
323	0.1112903494
324	0.1112885702
325	0.111286606
326	0.1112855228
327	0.1112842211
328	0.1112831557
329	0.1112816493
330	0.1112806013
331	0.1112795623
332	0.111278532
333	0.1112772847
334	0.1112760509
335	0.1112742496
336	0.1112728126
337	0.1112718223
338	0.1112704233
339	0.1112686399
340	0.1112672687
341	0.1112659067
342	0.1112643583
343	0.1112634117
344	0.1112622617
345	0.1112613297
346	0.1112596508
347	0.111258362
348	0.1112570906
349	0.1112561857
350	0.1112552879
351	0.1112543973
352	0.111253161
353	0.111251233
354	0.1112503614
355	0.1112492903
356	0.1112484317
357	0.1112468543
358	0.1112460089
359	0.1112444893
360	0.1112436564
361	0.1112428299
362	0.1112413622
363	0.1112403448
364	0.1112393377
365	0.1112383407
366	0.1112373536
367	0.1112363763
368	0.1112355896
369	0.1112344718
370	0.1112335146
371	0.1112325667
372	0.1112316279
373	0.1112306981
374	0.1112297769
375	0.1112290266
376	0.1112281191
377	0.1112268849
378	0.1112259937
379	0.1112252628
380	0.1112245372
381	0.1112234962
382	0.1112223083
383	0.1112214468
384	0.1112207394
385	0.1112200371
386	0.1112190348
387	0.1112181945
388	0.1112172089
389	0.1112165242
390	0.1112155405
391	0.1112142448
392	0.1112135739
393	0.1112127623
394	0.1112118167
395	0.1112105525
396	0.1112093163
397	0.1112086665
398	0.1112078791
399	0.1112070985
400	0.1112061848
401	0.111205551
402	0.1112049214
403	0.1112041591
404	0.1112035375
405	0.1112023172
406	0.111201704
407	0.1112010949
408	0.1111999366
409	0.1111988033
410	0.1111977909
411	0.1111971965
412	0.1111966058
413	0.1111957532
414	0.1111951696
415	0.1111945899
416	0.1111937535
417	0.1111931806
418	0.1111926114
419	0.1111920458
420	0.1111914838
421	0.1111907906
422	0.11118972
423	0.1111891682
424	0.1111883633
425	0.1111878178
426	0.1111871431
427	0.111186474
428	0.1111855518
429	0.1111843729
430	0.1111834683
431	0.1111829408
432	0.1111824165
433	0.1111818954
434	0.1111813775
435	0.1111807412
436	0.1111802293
437	0.1111794915
438	0.1111784689
439	0.1111776043
440	0.1111771038
441	0.1111761362
442	0.1111752877
443	0.1111747954
444	0.1111741903
445	0.1111734779
446	0.1111728801
447	0.1111719198
448	0.1111714411
449	0.1111709651
450	0.1111701529
451	0.1111696819
452	0.1111688814
453	0.111168307
454	0.1111672762
455	0.1111668151
456	0.1111663567
457	0.1111655786
458	0.1111650218
459	0.1111645705
460	0.1111640201
461	0.1111635736
462	0.1111631298
463	0.1111625879
464	0.1111621488
465	0.1111616131
466	0.1111610813
467	0.1111605533
468	0.1111594932
469	0.1111590653
470	0.1111586397
471	0.1111582165
472	0.111157701
473	0.1111571892
474	0.1111567725
475	0.1111563581
476	0.111155854
477	0.1111554438
478	0.1111550359
479	0.1111545393
480	0.1111541356
481	0.1111537341
482	0.1111527193
483	0.1111523218
484	0.1111517237
485	0.1111513301
486	0.1111509387
487	0.1111504592
488	0.1111498628
489	0.1111494772
490	0.1111488033
491	0.1111483338
492	0.1111479537
493	0.1111475756
494	0.1111469153
495	0.1111462621
496	0.1111458891
497	0.111145518
498	0.1111450648
499	0.1111446145
500	0.1111441672
501	0.1111438032
502	0.1111433605
503	0.111143
504	0.1111423712
505	0.1111419357
506	0.111141005
507	0.1111400897
508	0.1111397374
509	0.1111393868
510	0.1111389611
511	0.1111385381
512	0.1111381925
513	0.1111378486
514	0.1111373313
515	0.1111366042
516	0.1111358883
517	0.1111353797
518	0.1111350436
519	0.1111341863
520	0.1111338533
521	0.1111334474
522	0.1111331175
523	0.1111327156
524	0.1111323162
525	0.1111319193
526	0.1111315248
527	0.1111310372
528	0.111130716
529	0.1111303267
530	0.1111299398
531	0.1111293859
532	0.1111285668
533	0.1111281861
534	0.1111277171
535	0.1111270592
536	0.1111266835
537	0.1111261497
538	0.111125842
539	0.1111254719
540	0.111125167
541	0.1111248004
542	0.1111244982
543	0.1111241974
544	0.1111238981
545	0.1111236001
546	0.1111233036
547	0.1111229455
548	0.1111226516
549	0.1111222967
550	0.1111220054
551	0.1111217154
552	0.1111209479
553	0.1111205989
554	0.111120163
555	0.1111198778
556	0.111119594
557	0.1111193114
558	0.1111187009
559	0.1111183598
560	0.111118081
561	0.1111178034
562	0.1111174665
563	0.1111171315
564	0.1111167984
565	0.1111164672
566	0.1111158732
567	0.1111152884
568	0.1111150188
569	0.1111146929
570	0.1111144256
571	0.1111137155
572	0.1111133937
573	0.1111129216
574	0.1111126033
575	0.1111122867
576	0.1111120256
577	0.1111117657
578	0.1111114529
579	0.1111111418
580	0.1111108323
581	0.1111105245
582	0.1111102183
583	0.1111099645
584	0.1111097118
585	0.1111094092
586	0.1111091585
587	0.1111088584
588	0.1111086098
589	0.1111083123
590	0.1111077666
591	0.1111074717
592	0.111107227
593	0.1111069833
594	0.1111067407
595	0.1111064991
596	0.1111062094
597	0.1111059211
598	0.1111056823
599	0.1111054445
600	0.1111052078
601	0.111104828
602	0.1111044516
603	0.1111042174
604	0.111103936
605	0.1111035646
606	0.1111032854
607	0.1111030548
608	0.1111027779
609	0.1111025024
610	0.1111022744
611	0.1111020474
612	0.1111018212
613	0.1111015496
614	0.1111013252
615	0.1111011017
616	0.1111008791
617	0.1111006113
618	0.1111003904
619	0.1111001704
620	0.1110995342
621	0.1110992701
622	0.1110988648
623	0.1110986033
624	0.1110983432
625	0.1110981279
626	0.1110978697
627	0.1110975144
628	0.1110973015
629	0.1110970895
630	0.1110968348
631	0.1110966244
632	0.1110964148
633	0.1110961628
634	0.1110958232
635	0.1110954368
636	0.1110952301
637	0.1110950242
638	0.1110947768
639	0.1110945305
640	0.1110942855
641	0.1110937995
642	0.1110933106
643	0.111092982
644	0.1110927813
645	0.1110925814
646	0.1110923822
647	0.1110921427
648	0.1110918117
649	0.1110915739
650	0.1110913373
651	0.1110907747
652	0.11109054
653	0.1110901759
654	0.1110899824
655	0.111089622
656	0.1110894298
657	0.1110892383
658	0.1110890475
659	0.111088692
660	0.1110885024
661	0.1110881505
662	0.1110879242
663	0.1110876203
664	0.1110873957
665	0.1110872093
666	0.1110870236
667	0.1110868386
668	0.1110866168
669	0.111086396
670	0.111086055
671	0.111085752
672	0.11108557
673	0.1110850196
674	0.1110848027
675	0.1110844705
676	0.111084291
677	0.1110840038
678	0.1110838254
679	0.1110836477
680	0.1110833566
681	0.1110830747
682	0.1110828631
683	0.1110826525
684	0.1110824428
685	0.1110822685
686	0.111082095
687	0.1110818179
688	0.111081543
689	0.11108127
690	0.111080999
691	0.1110807227
692	0.1110805523
693	0.1110800466
694	0.1110798775
695	0.1110796121
696	0.1110794441
697	0.1110792767
698	0.1110790141
699	0.1110788478
700	0.1110785461
701	0.1110783464
702	0.1110780884
703	0.1110776642
704	0.1110775006
705	0.1110772455
706	0.1110770488
707	0.1110768529
708	0.1110766913
709	0.1110765304
710	0.1110763363
711	0.1110761431
712	0.1110756481
713	0.1110754563
714	0.1110752653
715	0.1110751073
716	0.1110749176
717	0.1110747607
718	0.1110746044
719	0.1110744486
720	0.1110742933
721	0.1110740482
722	0.111073894
723	0.1110737402
724	0.1110732587
725	0.1110731059
726	0.1110728589
727	0.1110726747
728	0.1110725235
729	0.1110723727
730	0.1110721287
731	0.111071979
732	0.1110717974
733	0.111071524
734	0.1110713438
735	0.1110711959
736	0.1110710484
737	0.1110708699
738	0.1110707233
739	0.1110705773
740	0.1110704317
741	0.1110702866
742	0.1110700503
743	0.1110699061
744	0.1110697625
745	0.1110696193
746	0.1110694766
747	0.1110693026
748	0.1110691294
749	0.1110689568
750	0.1110687849
751	0.1110686443
752	0.1110685042
753	0.1110680398
754	0.11106787
755	0.1110676462
756	0.1110675077
757	0.1110673698
758	0.1110672018
759	0.1110670647
760	0.111066928
761	0.1110667917
762	0.1110665716
763	0.1110664362
764	0.1110662708
765	0.1110661362
766	0.111066002
767	0.1110658682
768	0.1110657349
769	0.111065602
770	0.1110654392
771	0.111065277
772	0.1110649035
773	0.1110647722
774	0.1110645583
775	0.1110643979
776	0.1110642381
777	0.1110640256
778	0.1110638669
779	0.1110637087
780	0.1110635799
781	0.1110634516
782	0.1110632419
783	0.1110630854
784	0.1110628722
785	0.1110627453
786	0.1110625047
787	0.1110623501
788	0.1110622242
789	0.1110620705
790	0.1110619454
791	0.1110618206
792	0.1110616682
793	0.1110615442
794	0.1110613927
795	0.1110611853
796	0.1110609792
797	0.1110607795
798	0.1110606572
799	0.1110605076
800	0.111060386
801	0.1110602648
802	0.1110601439
803	0.1110599959
804	0.1110597664
805	0.1110596465
806	0.1110594999
807	0.1110593052
808	0.1110591863
809	0.1110590408
810	0.1110586234
811	0.1110584789
812	0.1110583613
813	0.1110581702
814	0.1110580533
815	0.1110578636
816	0.1110577473
817	0.1110576314
818	0.1110574892
819	0.1110572968
820	0.1110569523
821	0.1110568376
822	0.111056697
823	0.1110565115
824	0.1110563977
825	0.1110562136
826	0.1110560259
827	0.1110559131
828	0.1110557314
829	0.1110555931
830	0.1110554812
831	0.1110553436
832	0.1110552065
833	0.1110550955
834	0.1110549592
835	0.1110548489
836	0.1110547388
837	0.1110546291
838	0.1110545197
839	0.111054385
840	0.1110542508
841	0.1110539184
842	0.111053711
843	0.1110536031
844	0.1110534954
845	0.111053388
846	0.111053281
847	0.1110531742
848	0.1110530678
849	0.1110529366
850	0.1110528058
851	0.1110527002
852	0.1110524967
853	0.1110523198
854	0.1110521483
855	0.1110520437
856	0.1110518734
857	0.1110517694
858	0.1110515707
859	0.1110514672
860	0.111051364
861	0.1110512367
862	0.1110511341
863	0.1110510317
864	0.1110509297
865	0.1110507633
866	0.1110506374
867	0.1110505361
868	0.1110504352
869	0.1110503345
870	0.111050234
871	0.1110501339
872	0.111050034
873	0.1110499101
874	0.1110495015
875	0.111049128
876	0.111049005
877	0.1110488826
878	0.1110487605
879	0.1110486388
880	0.1110484773
881	0.1110483169
882	0.1110482195
883	0.1110480318
884	0.1110479117
885	0.111047792
886	0.1110474284
887	0.1110473094
888	0.1110472134
889	0.1110471177
890	0.1110470222
891	0.1110468384
892	0.1110466788
893	0.1110465841
894	0.111046467
895	0.1110463503
896	0.1110462563
897	0.1110461625
898	0.1110460689
899	0.1110459533
900	0.1110457733
901	0.1110455945
902	0.1110452005
903	0.111045108
904	0.1110450159
905	0.111044924
906	0.1110447734
907	0.1110446601
908	0.1110445688
909	0.1110444778
910	0.1110443653
911	0.1110439792
912	0.111043889
913	0.1110437989
914	0.1110437091
915	0.1110435979
916	0.1110435085
917	0.1110433978
918	0.1110430501
919	0.1110429614
920	0.1110428729
921	0.111042723
922	0.1110426136
923	0.1110425257
924	0.1110424381
925	0.1110422933
926	0.1110421492
927	0.1110418096
928	0.1110417016
929	0.1110413259
930	0.1110411584
931	0.1110410722
932	0.1110409311
933	0.1110404897
934	0.1110403833
935	0.111040244
936	0.1110400804
937	0.1110399176
938	0.1110398328
939	0.1110397481
940	0.1110396077
941	0.1110395031
942	0.1110393425
943	0.1110390556
944	0.1110389518
945	0.1110388484
946	0.1110386897
947	0.1110386066
948	0.1110385041
949	0.1110384214
950	0.1110383389
951	0.1110381818
952	0.1110380803
953	0.1110379984
954	0.1110379167
955	0.1110378352
956	0.1110376798
957	0.111037545
958	0.111037464
959	0.1110373833
960	0.1110373028
961	0.1110372031
962	0.111037123
963	0.1110370238
964	0.1110369249
965	0.1110368454
966	0.111036747
967	0.1110366678
968	0.1110365698
969	0.111036491
970	0.1110364124
971	0.1110362611
972	0.1110361299
973	0.1110360331
974	0.1110359552
975	0.1110358058
976	0.1110356571
977	0.1110355614
978	0.1110354659
979	0.1110353187
980	0.1110352417
981	0.1110351171
982	0.1110350405
983	0.1110349461
984	0.111034852
985	0.1110347581
986	0.1110346134
987	0.1110344873
988	0.1110343651
989	0.1110342222
990	0.1110341295
991	0.1110340053
992	0.111033885
993	0.1110337929
994	0.1110337182
995	0.1110335988
996	0.1110335073
997	0.111033433
998	0.111033359
999	0.1110332681
